destination,country,month,origin_airport,arrival_airport,arrival_airport_name,average_price_gbp,cheapest_price_gbp,highest_price_gbp,average_duration_minutes,average_duration_hours,average_stops,flight_options_count
Maldives,Maldives,Dec,LHR,CMB,Bandaranaike International Airport,1170.0,1170.0,1170.0,787.0,13.12,1.0,1
Miami,United States,Sep,LHR,MIA,Miami International Airport,514.25,478.0,544.0,638.0,10.62,0.25,4
Miami,United States,Oct,LHR,MIA,Miami International Airport,485.0,485.0,485.0,650.0,10.83,0.0,1
Miami,United States,Nov,LHR,MIA,Miami International Airport,535.0,535.0,535.0,656.0,10.94,0.0,1
Miami,United States,Dec,LHR,MIA,Miami International Airport,635.0,635.0,635.0,669.0,11.15,0.0,1
Mykonos,Greece,Sep,LHR,JMK,"Mykonos National Airport ""Manto Mavrogeni""",291.0,279.0,297.0,273.0,4.56,0.33,3
Mykonos,Greece,Oct,LHR,JMK,"Mykonos National Airport ""Manto Mavrogeni""",250.0,250.0,250.0,279.0,4.65,0.0,1
Mykonos,Greece,Nov,LHR,JMK,"Mykonos National Airport ""Manto Mavrogeni""",240.0,240.0,240.0,282.0,4.7,0.0,1
Mykonos,Greece,Dec,LHR,JMK,"Mykonos National Airport ""Manto Mavrogeni""",285.0,285.0,285.0,287.0,4.79,1.0,1
Phuket,Thailand,Sep,LHR,HKT,Phuket International Airport,690.0,690.0,690.0,980.0,16.33,1.0,1
Phuket,Thailand,Oct,LHR,HKT,Phuket International Airport,660.0,660.0,660.0,1000.0,16.66,1.0,1
Phuket,Thailand,Nov,LHR,HKT,Phuket International Airport,705.0,705.0,705.0,1009.0,16.82,1.0,1
Phuket,Thailand,Dec,LHR,HKT,Phuket International Airport,855.0,855.0,855.0,1029.0,17.15,1.0,1
Sal,Cape Verde,Sep,LHR,SID,Amílcar Cabral International Airport,1041.0,669.0,1413.0,818.0,13.62,1.5,2
Sal,Cape Verde,Oct,LHR,SID,Amílcar Cabral International Airport,1000.0,1000.0,1000.0,833.0,13.89,2.0,1
Sal,Cape Verde,Nov,LHR,SID,Amílcar Cabral International Airport,1060.0,1060.0,1060.0,842.0,14.03,2.0,1
Sal,Cape Verde,Dec,LHR,SID,Amílcar Cabral International Airport,1220.0,1220.0,1220.0,858.0,14.3,2.0,1
Tenerife,Spain,Sep,LHR,TFS,Tenerife South Airport,272.33,211.0,326.0,613.0,10.22,1.0,3
Tenerife,Spain,Oct,LHR,TFS,Tenerife South Airport,260.0,260.0,260.0,625.0,10.42,1.0,1
Tenerife,Spain,Nov,LHR,TFS,Tenerife South Airport,280.0,280.0,280.0,632.0,10.53,1.0,1
Tenerife,Spain,Dec,LHR,TFS,Tenerife South Airport,320.0,320.0,320.0,644.0,10.73,1.0,1
