"imageUrl","title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categoryName","url"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFRnqqcOCyNGIdvpNwbNZ2CzB2EhKX48C8URXY7qDP5ElhiCpyx9lIdoZ96lL7urUZAjHaCucjL9SSvyyDs-HqujlJp9SJE-GdhDtn1zP16q7eRDrmVku68Wn1x2T1wS76K8sCJCA=w408-h306-k-no","Reflections Rooftop Bar","4.8","38","Q8H3+CG8","Mueang Phuket District","Phuket","TH","https://www.thenaiharn.com/dining/reflections/","+66 76 380 200","Bar","https://www.google.com/maps/search/?api=1&query=Reflections%20Rooftop%20Bar&query_place_id=ChIJs70SMHMnUDAR8JcuuXPfYuY"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHfq-3crBaYA8vvWhqFjKCFTZGdNuetwy03qOiBGM3FmkO2S_QcnStPyGjLp_rVmQTBY5em5x1yvrwD4MI7-4uBDkd4EtafPrLamCbU9wlekwiC3MkJx55yPl7Ly7XyH2nQB1lDCQ=w408-h306-k-no","Inspired cocktails and wine","5","121","102 Koktanod Rd","Mueang Phuket District","Phuket","TH","https://www.facebook.com/inspiredbar","+66 84 607 1899","Cocktail bar","https://www.google.com/maps/search/?api=1&query=Inspired%20cocktails%20and%20wine&query_place_id=ChIJoekI76QlUDAR8VPtRGPAC8U"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAExLK3T7D5amjYQLoY4I5ZReDS52jr2wdxKxXlJe_kzLuR5-Kwn4xeeJv-01cf19nkuVHVESI_Vss96nfF5ZJ_2gaWQtx6LiuxxK7KXj6aCHolmcbGMMDoefV1BTWrRVzJfuYuDFnNRTdMb=w408-h544-k-no","Phuket","4.9","1385","29/1 Bangla Rd","Kathu District","Phuket","TH","https://mystic-strip.com/?utm_source=goog_maps","+66 99 027 9370","Night club","https://www.google.com/maps/search/?api=1&query=Phuket&query_place_id=ChIJE8W9mS87UDAR7mnY3aDQlko"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFH2N3Msf7OiMgoUoYoGOlYLEvFHKp0DSA3m6DF-WzJdgPNr7F2kUbSIPFDdNU-UuF6bySTvBWbqlNdNHwoJxxREQAoh5F5BDv0BEDda6b9fiP3OWrxWiT4xGh0GJlrkhBxNuBW=w408-h306-k-no","Crafty Coyote Pub","4.9","132","12, 44","Mueang Phuket District","Phuket","TH",,"+66 84 559 6324","Bar","https://www.google.com/maps/search/?api=1&query=Crafty%20Coyote%20Pub&query_place_id=ChIJpyzYN80pUDARkYMTEujCYKs"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGT3jFRDKq4SGZO7n2U_6HRVjT1EufRYRLn25wkFARmRklsJBlJDFZ7THQnBdwRGbZSb0ePLjt0RW3drgqKDyGVyXAxvL_4MSKBdWkvPCHcqkWTHH-vlblLrEKGjrjKNeixYZa6aTvRxKpC=w408-h271-k-no","Moonshine | Restaurant, Lounge & Jazz Bar","4.8","137","58/4-5, Lagoon Rd","Thalang District","Phuket","TH","https://www.moonshinephuket.net/?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_content=profile_link","+66 93 437 6997","Bar","https://www.google.com/maps/search/?api=1&query=Moonshine%20%7C%20Restaurant%2C%20Lounge%20%26%20Jazz%20Bar&query_place_id=ChIJywwal-o5UDARHuYP1QnKxtQ"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAEdNETfmxzWIWSSOQ9HtUzPH7NzgBK2lHNPvmLrCWtFVWHWVOplNZ1goDq0S8IuMYopuEYACzpAtRY35_ermV0I3fglmJxhG9qrlHRRdw9scnYElp0GxGO5-u3fO3KCSGMMNUI=w408-h272-k-no","BrewBridge - Craft Beer Bar Phuket - 12 Beers on Tap","4.8","159","49, Boat Avenue, 22 Bandon-Cherngtalay Rd","Thalang District","Phuket","TH","https://my.matterport.com/show/?m=LstJgpsQRfT","+66 76 606 650","Bar","https://www.google.com/maps/search/?api=1&query=BrewBridge%20-%20Craft%20Beer%20Bar%20Phuket%20-%2012%20Beers%20on%20Tap&query_place_id=ChIJTRoWCNk5UDAR9l2BhtMlVhY"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGPfQYRoNzwfIFufuseIR1K033Wv_64yxzQrG47YyhfyQrKNrKj9Za_Iun-IbwRHlukDEuV9ES_zjq_Zdon8jk0r77RP4nsnKBNN7Rdcg72wRn3mipYyB7RxQR6MVzYIvA00RB6pQp1Y1jP=w408-h408-k-no","Overgrown Lounge & Cocktail Bar","5","243","149 Cherngtalay","Thalang District","Phuket","TH","https://lagreenhotel.com/restaurants/overgrown","+66 61 578 3165","Bar","https://www.google.com/maps/search/?api=1&query=Overgrown%20Lounge%20%26%20Cocktail%20Bar&query_place_id=ChIJPyHcVPI5UDARyrh5QVwlo0w"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGxoKgV8xe2g_EbvSXB6E8zuke5iFHncciwFoozOubIM5a8RZpb6sImJpPO1LL_yMLN-GLitxsT6n7AWpCoMCc3cQVU8x1MfihLZSEt1ILYbnCoK4hjX4F3neQ8fn7c_4q6p_lYMg=w426-h240-k-no","Madagascar Bar Naithon Beach","4.8","133",,"Thalang District","Phuket","TH",,"+66 97 996 1532","Bar & grill","https://www.google.com/maps/search/?api=1&query=Madagascar%20Bar%20Naithon%20Beach&query_place_id=ChIJ2zJb1YhHUDARhjgtJ5vcTa4"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFSopMVOTer87yuOdoRVzG2AaCJu54uuQJBgeCnbTmdnmV8Y-isoSWleESivqhB7GW40YSf3BaoKGFW1DsoNWKlTxGlmq2w3LjDIfn4OZqsxmeXKMPWtzgZA4oQHgeVZ-i5ggg4=w408-h306-k-no","Watsbar","4.9","52",,"Thalang District","Phuket","TH",,"","Bar","https://www.google.com/maps/search/?api=1&query=Watsbar&query_place_id=ChIJgV7XE9JHUDARc7CcX0_Dey8"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAEYvqEeulxexyQTJHr8A0xqYgiRyBTbRd3ZJC8YjPwRkwmKIVfJhblLwdJo2bopbMtZNFlVgnKUiN_0x33pLgGhVNvLi4IyC_95zuhk9iOOtd_0ob9VJ-lA4Z1sxWymiKZzBzmSJnzNe9E5=w408-h306-k-no","Kora Sky Rooftop Lounge","4.7","16","178, Kora Sky Rooftop Lounge, Cherngtalay","Thalang District","Phuket","TH","https://korabeachresort.com/restaurant-bars/kora-sky-rooftop-lounge/","+66 76 310 000","Bar","https://www.google.com/maps/search/?api=1&query=Kora%20Sky%20Rooftop%20Lounge&query_place_id=ChIJAa_ycXo5UDARxRbCYnN9wj4"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAE4WoeRINPdKx9F1nd3pGUDIvseXYXXYNsEReKWF9nkQm8I1rWYss4mILMeztGWZ3px4s-RV5-TmgVFZSa-9edyI0gCE_zcXMDBLbDE8OV6FYiKA7IRahaKpmdYtY7uwFqR4ZPMk8-tziDE=w408-h266-k-no","Vayu Rooftop","5","5","888","Amphur Thalang","Phuket","TH","https://www.anantara.com/en/mai-khao-phuket/restaurants/vayu","+66 76 336 100","Cocktail bar","https://www.google.com/maps/search/?api=1&query=Vayu%20Rooftop&query_place_id=ChIJc_uuN9tFUDARDojaIa-u2Xs"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAH44MKXLjwWNTMLqtVoHKqYTHsWyIkggMXWL4MMvCySf4FQBn8Ej-Kcunu2Mr1NXgemFur-F5u9b3vZ8vbyFpMIfeiQGzik2KXyC4TlFjYVqqq78QdSsrgTUpxbxsJBdAXJe5cp=w408-h272-k-no","M Beach Club","4.4","261","JW Marriott Phuket Resort & Spa 231","Talang","Phuket","TH","https://www.mbeachclubphuket.com/","+66 76 338 000","Bar","https://www.google.com/maps/search/?api=1&query=M%20Beach%20Club&query_place_id=ChIJ1T1njJpFUDAR9H5MQeK9I6g"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFE1bBP1zJIRv--ji7DdEIL184hc2F6t7V9qKfw8gOEBejdzMtXPp2kOkC4VmW6s4cSliiCsa-x9mmjlJGfpHh542AGzYvutL3hVe_zqFHLgAL4TUroizjmNPGIWFDb2cs8gadhsn6ViYAn=w408-h306-k-no","JubJub Cafe","4.8","21","62, 2 Soi Layan 2","Thalang District","Phuket","TH",,"+66 80 074 5767","Bar","https://www.google.com/maps/search/?api=1&query=JubJub%20Cafe&query_place_id=ChIJt2OsLRM5UDARGPHtaErKHEI"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGqde0yeGrQIXIyNB34UYHe-zvyt-kHUfuzmAtYg7APOS62TAFUGwfW7DFSEEXfr3Zfhjhw8dWwOVdYWTQTv5TCZWBLhSDuzy-25atUzEH95jZIs2fxpyC8CEQs7MNXKS3xNPiw9FEWyOnP=w426-h240-k-no","Infinity","5","11","888, Phuket Villas, Anantara","Amphur Thalang","Phuket","TH","https://www.anantara.com/en/mai-khao-phuket/restaurants/infinity-bar","+66 95 252 3306","Bar","https://www.google.com/maps/search/?api=1&query=Infinity&query_place_id=ChIJWTPiHt9FUDARUpai1eTijeA"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHkHGvLTVgQioLh4Zf8iFxJi6WhYKvu6aPSpyp4OMul_nvNR4qGkWs_iXulP58h1t0sS2Lw1XDhVb5VPcumBuL_4YAJzq4IeZNyYfnlnkX6C_tSJrFbZ7FFMLT_FWk_B72wxn5PQW6EAtY=w426-h240-k-no","Ajour Beach Club","4.7","41","138/21 Moo 4","Thalang District","Phuket","TH","https://ajourbeachclub.com/","+66 82 423 0060","Bar","https://www.google.com/maps/search/?api=1&query=Ajour%20Beach%20Club&query_place_id=ChIJ3zWhmjRHUDARiAAP4x8CgZA"
"https://lh3.googleusercontent.com/gps-cs-s/APNQkAF0Af1xNFPrG0kUj8phQQVp8ORBgcHONWk-FlfntgRzMqIu64dApNHlKTUmPvNa2u5131GgVRN8gBlVEDgTvQcD9vlpAEBNrVyzzIbpGwHNK7Ay3w00427ALxvnFgJFekANj7fwrhzXPWc=w408-h306-k-no","Mai Khao Wine Bar","5","16","89, 2 Soi Mai Khao 6","Thalang District","Phuket","TH","https://www.instagram.com/maikhao_winebar?igsh=MWhsNHYzZTJjdjk2bA==","+66 86 612 3110","Wine bar","https://www.google.com/maps/search/?api=1&query=Mai%20Khao%20Wine%20Bar&query_place_id=ChIJs68zQfFHUDARQ4iIq2jtpAM"
